1001,b4IPD6,100buyer,100buyer@1049O.com,60068,Park Ridge ,IL,active
1002,a1VCT9,12345678bird,12345678bird@1094H.com,29841,North Augusta ,SC,active
1003,i1UFE2,123golfdawg,123golfdawg@1155F.com,07731,Howell ,NJ,active
1004,x8SPE7,12girl,12girl@1116J.com,20746,Suitland ,MD,active
1005,c6WJI3,14cisco,14cisco@1043C.com,15001,Aliquippa ,PA,active
1006,b2ZMU4,19750926o,19750926o@994K.com,16601,Altoona ,PA,active
1007,g4DNI4,1982msu,1982msu@983C.com,28104,Matthews ,NC,active
1008,u2ZDI9,1bemlr,1bemlr@1029H.com,44256,Medina ,OH,active
1009,j6IJK5,1cdwill,1cdwill@1031P.com,16066,Cranberry Twp ,PA,active
1010,m2NAP1,1duesenburg,1duesenburg@971D.com,07675,Westwood ,NJ,active
1011,t9RQJ6,1greymon,1greymon@1081U.com,46514,Elkhart ,IN,active
1012,e8BDA6,1gyros,1gyros@1167B.com,08094,Williamstown ,NJ,active
1013,a6GIH8,abayha,abayha@1178B.com,37643,Elizabethton ,TN,active
1014,n7HPX9,abesedovsky,abesedovsky@1029Y.com,02169,Quincy ,MA,active
1015,m5QXE8,abjeschke,abjeschke@1069H.com,46530,Granger ,IN,active
1016,x5FOF3,ablotkamp,ablotkamp@1127Z.com,01970,Salem ,MA,active
1017,e5YQA8,abossxxx,abossxxx@1044Y.com,10701,Yonkers ,NY,active
1018,e5TME8,abrahamklein,abrahamklein@1055T.com,19083,Havertown ,PA,active
1019,c5GQS2,abrams407,abrams407@1027Q.com,85021,Phoenix ,AZ,active
1020,e3BCV5,absolutjomo,absolutjomo@1131T.com,02072,Stoughton ,MA,active
1021,u7NOG3,acbre,acbre@1021B.com,60062,Northbrook ,IL,active
1022,n1GRR4,barbiebarbangels,barbiebarbangels@976V.com,08844,Hillsborough ,NJ,active
1023,c5GFV5,bardcatcher,bardcatcher@1018C.com,26554,Fairmont ,WV,active
1024,j1GHR8,barginbook,barginbook@1113Y.com,07202,Elizabeth ,NJ,active
1025,v3FAG5,barkleydog001,barkleydog001@1215K.com,55060,Owatonna ,MN,active
1026,u4WTC1,barnabusinfla,barnabusinfla@1192T.com,23223,Richmond ,VA,active
1027,q9VGY4,barrettdonna,barrettdonna@1083X.com,20707,Laurel ,MD,active
1028,b8DPI9,bartcee,bartcee@1048J.com,01810,Andover ,MA,active
1029,n3ZNL4,baseballcardfreak77,baseballcardfreak77@1051D.com,47802,Terre Haute ,IN,active
1030,w3VWU8,chricanhami,chricanhami@986D.com,36109,Montgomery ,AL,active
1031,y8JOG7,chris03029,chris03029@1008K.com,92236,Coachella ,CA,active
1032,h1YRQ5,chris20w77,chris20w77@1196Y.com,95677,Rocklin ,CA,active
1033,x9SNX6,chrisa76,chrisa76@1068E.com,48101,Allen Park ,MI,active
1034,j4ESB3,chriscolt45,chriscolt45@1163Q.com,99654,Wasilla ,AK,active
1035,x7IUW9,chrisdodo,chrisdodo@1222Z.com,07003,Bloomfield ,NJ,active
1036,s5VZD6,chrispbux,chrispbux@1126I.com,30075,Roswell ,GA,active
1037,x5UNA1,chrisreed52,chrisreed52@1059T.com,55987,Winona ,MN,active
1038,i1NPW9,chrissiegurl,chrissiegurl@972H.com,33410,Palm Beach Gardens ,FL,active
1039,l4NHY1,christensen69,christensen69@1089Q.com,02184,Braintree ,MA,active
1040,h9QKF3,christie276,christie276@1194T.com,44691,Wooster ,OH,inactive
1041,i2BPK6,chronolog2003,chronolog2003@1001D.com,48823,East Lansing ,MI,inactive
1042,z8MEP9,chubakak,chubakak@1052R.com,50158,Marshalltown ,IA,inactive
1043,x9ICW3,chuck31687,chuck31687@1016O.com,11743,Huntington ,NY,inactive
1044,k3PSI5,chucky44441978,chucky44441978@1205O.com,06082,Enfield ,CT,inactive
1045,h5YUL2,chueychuey,chueychuey@1026J.com,11354,Flushing ,NY,inactive
1046,x9HOL9,chuik,chuik@1123Z.com,53151,New Berlin ,WI,inactive
1047,r5LVE3,chuloprime1,chuloprime1@1181O.com,43612,Toledo ,OH,inactive
1048,o3NWG5,grayfirm,grayfirm@1211B.com,11412,Saint Albans ,NY,suspended
1049,d2MIN9,green_eddie,green_eddie@1122X.com,03102,Manchester ,NH,suspended
1050,mg-128,Madhavi,mg152018@gmail.com,95051,Philadelphia ,CA,active
